breadcrumbs,image_url,brand,product_name,price,reviews,colour,sizes,description,sku,product_id
,/products/high-neck-laser-cut-tank-black,CARBON38,High Neck Laser Cut Tank in Diamond Compression,$128.00,,"
                      ",XS,,,
,/products/laser-cut-zip-l-s-run-top-black,CARBON38,Laser Cut Zip L/S Run Top in Diamond Compression,$168.00,,"
                      ",XS,,,
,/products/piper-sweater-black,SER.O.YA,Piper Sweater,$178.00,,"
                      ",XS,,,
,/products/hi-low-oversized-boyfriend-nk-shirt-with-collar-st-black-mesh,NORMA KAMALI,Hi Low Oversized Boyfriend Nk Shirt with Collar St,$195.00,,"
                      ",XS,,,
,/products/strappy-tank-in-melt-caribou,CARBON38,Strappy Tank in Melt,$108.00,,"
                      ",XS,,,
,/products/wide-scoop-bra-tank-caribou,CARBON38,Wide Scoop Bra Tank in Melt,$98.00,,"
                      ",XS,,,
,/products/ribbed-tank-caribou,CARBON38,Ribbed Tank,$88.00,,"
                      ",XS,,,
,/products/front-twist-tank-caribou,CARBON38,Front Twist Tank,$68.00,,"
                      ",XS,,,
,/products/short-sleeve-sweater-white,CARBON38,Short Sleeve Sweater,$148.00,,"
                      ",XS,,,
,/products/rivington-ribbed-tank-white,WESLEY,Rivington Ribbed Tank,$68.00,,"
                      ",XS,,,
,/products/echo-pearly-shirt-white,Theo The Label,Echo Pearly Shirt,$295.00,,"
                      ",XS,,,
,/products/ribbed-tank-1-white,CARBON38,Ribbed Tank,$88.00,,"
                      ",XXS,,,
,/products/les-sport-bandier-1-2-zip-sweatshirt-white-cordovan,BANDIER,Les Sports Bandier 1/2 Zip Sweatshirt,$170.00,,"
                      ",XS,,,
,/products/cowl-neck-knit-sweatshirt-moonbeam-heather,CARBON38,Cowl Neck Knit Sweatshirt,$148.00,,"
                      ",XS,,,
,/products/short-sleeve-off-shoulder-sweatshirt-white,CARBON38,Short Sleeve Off Shoulder Sweatshirt in French Terry,$138.00,,"
                      ",XS,,,
,/products/short-slv-pocket-tee-white,CARBON38,Short Sleeve Pocket Tee,$78.00,,"
                      ",XS,,,
,/products/gio-wave-top-chantilly-black,PORT DE BRAS,Gio Wave Top,$175.00,,"
                      ",XS,,,
,/products/echo-pearly-shirt-black,Theo The Label,Echo Pearly Shirt,$295.00,,"
                      ",XS,,,
,/products/oversized-off-shoulder-sweater-black,CARBON38,Slouchy Knit Sweater,$158.00,,"
                      ",XS,,,
,/products/tuxedo-mock-neck-top-black,CARBON38,Tuxedo Mock Neck Top,$118.00,,"
                      ",XS,,,
,/products/strappy-tank-in-melt-black,CARBON38,Strappy Tank in Melt,$108.00,,"
                      ",XS,,,
,/products/wide-scoop-bra-tank-black,CARBON38,Wide Scoop Bra Tank in Melt,$98.00,,"
                      ",XS,,,
,/products/front-twist-tank-black,CARBON38,Front Twist Tank,$68.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-black,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/wide-scoop-bra-tank-white,CARBON38,Wide Scoop Bra Tank in Melt,$98.00,,"
                      ",XS,,,
,/products/long-sleeve-wrap-top-white,CARBON38,Long Sleeve Wrap Top in Melt,$128.00,,"
                      ",XS,,,
,/products/puff-sleeve-full-zip-top-white-sweet-lavendar,CARBON38,Puff Sleeve Full Zip Top,$134.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-white,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/center-stage-tank-black,BANDIER,Center Stage Tank,$90.00,,"
                      ",XS,,,
,/products/rivington-ribbed-long-sleeve-top-black,WESLEY,Rivington Ribbed Long Sleeve Top,$88.00,,"
                      ",XS,,,
,/products/cowl-neck-knit-sweatshirt-black,CARBON38,Cowl Neck Knit Sweatshirt,$148.00,,"
                      ",XS,,,
,/products/les-sport-bandier-1-2-zip-sweatshirt-black-white,BANDIER,Les Sports Bandier 1/2 Zip Sweatshirt,$170.00,,"
                      ",XS,,,
,/products/long-racerback-tank-honeysuckle,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/off-shoulder-raw-edge-sweatshirt-honeysuckle,CARBON38,Off Shoulder Raw Edge Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/long-sleeve-off-shoulder-tee-hawthorn-rose,CARBON38,Long Sleeve Off Shoulder Tee,$88.00,,"
                      ",XS,,,
,/products/one-shoulder-tank-hawthorn-rose-heather,CARBON38,One Shoulder Convertible Tank in Heather Melt,$108.00,,"
                      ",XS,,,
,/products/eva-cropped-crew-neck-cardi-shocking-pink,525,Eva Cropped Crew Neck Cardi,$119.00,,"
                      ",XS,,,
,/products/hady-538-lightning-red,BOGNER FIRE+ICE,Hady,$130.00,,"
                      ",XS,,,
,/products/long-racerback-tank-sweet-lavender,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/off-shoulder-raw-edge-sweatshirt-quiet-harbor,CARBON38,Off Shoulder Raw Edge Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/one-shoulder-tank-quiet-harbor,CARBON38,One Shoulder Convertible Tank in Heather Melt,$108.00,,"
                      ",XS,,,
,/products/short-sleeve-pocket-tee-quiet-harbor,CARBON38,Short Sleeve Pocket Tee,$78.00,,"
                      ",XS,,,
,/products/short-sleeve-sweater-quiet-harbor-white-stripe,CARBON38,Short Sleeve Sweater,$148.00,,"
                      ",XS,,,
,/products/rachel-sailor-open-stitch-pullover-forever-blue-multi-1,525,Rachel Sailor Open Stitch Pullover,$139.00,,"
                      ",XS,,,
,/products/adidas-by-stella-mccartney-crop-top-tech-mineral,ADIDAS BY STELLA MCCARTNEY,adidas by Stella McCartney Crop Top,$100.00,,"
                      ",XS,,,
,/products/ombre-cap-sleeve-wrap-tee-navy-ombre,CARBON38,Ombre Cap Sleeve Wrap Tee,$128.00,,"
                      ",XS,,,
,/products/nk-shirt-w-collar-stand-true-navy-pinstripe,NORMA KAMALI,NK Shirt W/ Collar Stand,$115.00,,"
                      ",XS,,,
,/products/long-sleeve-wrap-top-navy,CARBON38,Long Sleeve Wrap Top in Melt,$128.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-navy-blazer,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/wide-scoop-bra-tank-3-core-navy,CARBON38,Wide Scoop Bra Tank in Melt,$98.00,,"
                      ",XS,,,
,/products/long-racerback-tank-navy-blazer,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/strappy-tank-in-melt-navy-blazer,CARBON38,Strappy Tank in Melt,$108.00,,"
                      ",XS,,,
,/products/top-multicolor-blue-green-and-orange-tones,MISSONI,Top,$250.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-wasabi,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/long-racerback-tank-wasabi,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/long-racerback-tank-acid-lime,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-acid-lime,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/long-sleeve-wrap-top-acid-lime,CARBON38,Long Sleeve Wrap Top in Melt,$128.00,,"
                      ",XS,,,
,/products/colorblock-high-neck-tank-silversage-acid-lime,CARBON38,Colorblock High Neck Tank,$108.00,,"
                      ",XS,,,
,/products/colorblock-half-zip-top-silversage-acid-lime,CARBON38,Colorblock Half Zip Top in Melt,$138.00,,"
                      ",XS,,,
,/products/pleated-back-tank-silver-sage-acid-lime,CARBON38,Pleated Back Tank in Melt,$128.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-silversage,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/ryann-bodysuit-black,WATSKIN,Ryann Bodysuit,$325.00,,"
                      ",XS,,,
,/products/long-sleeve-off-shoulder-tee-silversage,CARBON38,Long Sleeve Off Shoulder Tee,$88.00,,"
                      ",XS,,,
,/products/short-sleeve-pocket-tee-silversage,CARBON38,Short Sleeve Pocket Tee,$78.00,,"
                      ",XS,,,
,/products/front-twist-tank-olive,CARBON38,Front Twist Tank,$68.00,,"
                      ",XS,,,
,/products/long-racerback-tank-olive,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/short-sleeve-pocket-tee-olive,CARBON38,Short Sleeve Pocket Tee,$78.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-6-olive,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/ribbed-tank-1-black,CARBON38,Ribbed Tank,$88.00,,"
                      ",XXS,,,
,/products/long-racerback-tank-black,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/nomia-cropped-rosette-top-black,Theo The Label,Nomia Rosette Top,$275.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-7-heather-grey,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/zip-long-sleeve-run-top,CARBON38,Zip Long Sleeve Run Top,$138.00,,"
                      ",XS,,,
,/products/rivington-ribbed-long-sleeve-top-grey-heather,WESLEY,Rivington Ribbed Long Sleeve Top,$88.00,,"
                      ",XS,,,
,/products/modena-longline-sweat-ivory-marl,VARLEY,Modena Longline Sweat,$128.00,,"
                      ",XS,,,
,/products/cavello-longline-sweat-birch-marl,VARLEY,Cavello Longline Sweat,$158.00,,"
                      ",XS,,,
,/products/posey-sherpa-jacket-sandshell,VARLEY,Posey Sherpa Jacket,$198.00,,"
                      ",XS,,,
,/products/amelia-half-zip-knit-birch,VARLEY,Amelia Half Zip Knit,$178.00,,"
                      ",XS,,,
,/products/viviana-sweater-creamy-white,Phoebe Harrison,Viviana Sweater,$430.00,,"
                      ",XS,,,
,/products/one-shoulder-tank-leopard-print,CARBON38,One Shoulder Convertible Tank in Melt,$108.00,,"
                      ",XS,,,
,/products/sasha-tee-leopard,WATSKIN,Sasha Tee,$225.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-java,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/long-racerback-tank-dark-oak,CARBON38,Long RacerBack Tank,$68.00,,"
                      ",XS,,,
,/products/off-shoulder-sweatshirt-orange-com,CARBON38,Off Shoulder Sweatshirt in French Terry,$148.00,,"
                      ",XS,,,
,/products/long-sleeve-wrap-top-orange-com,CARBON38,Long Sleeve Wrap Top in Melt,$128.00,,"
                      ",XS,,,
,/products/colorblock-half-zip-top-navy-orange-com,CARBON38,Colorblock Half Zip Top in Melt,$138.00,,"
                      ",XS,,,
,/products/pleated-back-tank-navy-orange-com,CARBON38,Pleated Back Tank in Melt,$128.00,,"
                      ",XS,,,
,/products/foil-half-zip-top-in-melt-dark-heather-grey-with-gunmetal-foil,CARBON38,Foil Half Zip Top in Melt,$158.00,,"
                      ",XS,,,
,/products/pearl-cardigan-sweater-black,CARBON38,Pearl Cardigan Sweater,$168.00,,"
                      ",XS,,,
,/products/strap-tank-black,CARBON38,Seamed Tank in Melt,$138.00,,"
                      ",XS,,,
,/products/mock-neck-long-sleeve-black,CARBON38,Mock Neck Long Sleeve in Melt,$128.00,,"
                      ",XS,,,
,/products/mentone-knit-pale-mauve,VARLEY,Mentone Knit,$148.00,,"
                      ",XS,,,
,/products/vine-half-zip-mushroom,VARLEY,Vine Half Zip,$158.00,,"
                      ",XS,,,
,/products/cabin-sweater-chevron-milky-way,KERRI ROSENTHAL,Cabin Sweater Chevron,$466.00,,"
                      ",XS,,,
,/products/portland-high-neck-midlayer-grey,VARLEY,Portland High Neck Midlayer,$118.00,,"
                      ",XS,,,
